screen_name,user_id,location,description,url,gender,party,state,district
RepGarretGraves,2951574214,Follow us on Facebook: ,Official Twitter Page of Congressman Garret Graves (LA06),https://t.co/glkM2IIXms,M,R,LA,6.0
RepNewhouse,2930635215,,Proud to represent Washington's 4th District in the U.S. Congress,https://t.co/qIftHgI639,M,R,WA,4.0
RepBrianBabin,2929491549,,Honored to serve citizens of #TX36 in U.S. Congress. Ranking Member of Space and Aeronautics Subcmte & serve on @HouseScienceGOP and @TransportGOP Committee.,https://t.co/tJRjOi3OmN,M,R,TX,36.0
RepAdams,2916086925,,Congresswoman representing NC’s 12th District. Educator. Artist. Founder & Co-Chair of the Bipartisan HBCU Caucus.,https://t.co/wPfZolUQ4r,F,D,NC,12.0
RepTomEmmer,2914515430,"Otsego, MN | Washington, D.C.","Husband, father, hockey fan, and Congressman for Minnesota's 6th District.",http://t.co/jU8TYBqqHL,M,R,MN,6.0
RepLoudermilk,2914163523,,"Rep. Barry Loudermilk represents Georgia's 11th Congressional District, which includes all of Bartow and Cherokee counties and portions of Cobb and Fulton.",https://t.co/FWd4vPQ7Po,M,R,GA,11.0
SenDanSullivan,2891210047,,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,http://t.co/9uIoLCChCm,M,R,AK,
sendavidperdue,2863210809,Georgia,Official Twitter account for U.S. Senator David Perdue of Georgia.,https://t.co/I3Xla8NlsK,M,R,GA,
RepLawrence,2863006655,"Washington, DC","Congresswoman for Michigan's 14th District: Detroit, Southfield, Oakland and Wayne Counties. Instagram: Repbrendalawrence, Facebook: Rep.BLawrence",https://t.co/jik2CxOIWT,F,D,MI,14.0
RepKenBuck,2862577383,"Windsor, CO | Washington, DC",Proudly representing the wonderful people of Colorado (CO-04). Member on @JudiciaryGOP & @HouseForeignGOP,https://t.co/Tl3R8080cP,M,R,CO,4.0
USRepGaryPalmer,2861616083,,Proudly serving the people of Alabama's 6th Congressional District.,https://t.co/f5XX8JEE0I,M,R,AL,6.0
SenJoniErnst,2856787757,Iowa,Follow for news and updates from the Office of Iowa Senator Joni K. Ernst. Tweets from Joni are signed JKE.,http://t.co/zUYK5PQEOd,F,R,IA,
RepWesterman,2852998461,"Hot Springs, Arkansas",Representing the 4th District of Arkansas. Husband. Father of 4. Hot Springs native. Engineer. Forester.,,M,R,AR,4.0
RepRatcliffe,2847221717,"Heath, TX","U.S. Congressman for Texas' 4th District. Member of House Intelligence Committee, @JudiciaryGOP & House Ethics. Former federal prosecutor.",https://t.co/RaXZihuHYU,M,R,TX,4.0
RepLeeZeldin,2750127259,,Proudly representing New York's First Congressional District. Ranking Member of @HouseForeignGOP Subcommittee on Oversight & Investigations.,https://t.co/Kj9kXazM0U,M,R,NY,1.0
StaceyPlaskett,2724095695,"U.S. Virgin Is. | Wash., DC",Proudly representing the Virgin Islands of the United States,http://t.co/T9tJ8F2eLe,F,D,Virgin Islands,
RepMoolenaar,2696643955,,Representing Michigan's Fourth Congressional District. This is the Twitter page of the official House office.,http://t.co/cwXZtKCJhJ,M,R,MI,4.0
RepHastingsFL,2433737761,Florida 20th,Congressman Alcee L. Hastings represents parts of Broward and Palm Beach counties in the U.S. House of Representatives.,http://t.co/g0E2ojpNr4,M,D,FL,20.0
